date, open, high, low, close
020118 , 915.00 , 919.20 , 907.25 , 911.40
030118 , 924.45 , 927.20 , 913.30 , 916.35
040118 , 919.00 , 921.80 , 916.00 , 920.25
050118 , 920.50 , 925.85 , 919.45 , 923.00
080118 , 924.10 , 930.20 , 923.60 , 928.45
090118 , 929.05 , 943.95 , 924.00 , 940.90
100118 , 945.00 , 946.75 , 935.40 , 941.50
110118 , 941.75 , 942.75 , 935.00 , 937.20
120118 , 942.00 , 951.85 , 938.10 , 946.75
150118 , 950.20 , 957.55 , 945.20 , 947.60
160118 , 949.00 , 949.00 , 920.00 , 923.50
